
January 20, 2012; Los Angeles Times; 100 words; Campaigns/Elections/Politics
February 15, 2012; Daily Herald (Everett, WA); 603 words; Defense/Military (Domestic)
February 28, 2012; Eagle Tribune (MA); 603 words; Additional Domestic Affairs
March 27, 2012; Houston Chronicle; 604 words; Education
March 23, 2012; Orlando Sentinel; 607 words; Crime
May 10, 2012; USA Today; 608 words; Health/Medicine
March 23, 2012; Houston Chronicle; 608 words; Education
March 27, 2012; Houston Chronicle; 608 words; Additional Domestic Affairs
February 3, 2012; Denver Post; 612 words; Disasters/Accidents
March 20, 2012; Denver Post; 612 words; Environment
January 23, 2012; Eagle Tribune (MA); 612 words; Education
March 6, 2012; Denver Post; 614 words; Economy/Economics
January 3, 2012; Orlando Sentinel; 614 words; Education
February 28, 2012; Houston Chronicle; 617 words; Environment
January 23, 2012; Eagle Tribune (MA); 617 words; Business
May 22, 2012; Houston Chronicle; 619 words; Health/Medicine
February 8, 2012; Orlando Sentinel; 619 words; Business
March 7, 2012; Orlando Sentinel; 619 words; Government Agencies/Legislatures
May 11, 2012; Traverse City Record; 620 words; Economy/Economics
February 9, 2012; Denver Post; 621 words; Campaigns/Elections/Politics
May 11, 2012; Denver Post; 624 words; Race/Gender/Gay Issues
May 30, 2012; Houston Chronicle; 625 words; Campaigns/Elections/Politics
May 30, 2012; Daily Herald (Everett, WA); 626 words; Education
January 13, 2012; Orlando Sentinel; 628 words; Race/Gender/Gay Issues
January 2, 2012; Eagle Tribune (MA); 628 words; Economy/Economics
April 19, 2012; Eagle Tribune (MA); 628 words; Economy/Economics
March 21, 2012; Houston Chronicle; 630 words; Economy/Economics
May 8, 2012; Houston Chronicle; 630 words; Transportation
February 1, 2012; Eagle Tribune (MA); 630 words; Government Agencies/Legislatures
April 2, 2012; Orlando Sentinel; 633 words; Transportation
March 9, 2012; Houston Chronicle; 634 words; Additional Domestic Affairs
April 20, 2012; Houston Chronicle; 634 words; Education
May 31, 2012; Denver Post; 635 words; Business
January 31, 2012; Houston Chronicle; 636 words; Economy/Economics
January 10, 2012; Daily Herald (Everett, WA); 636 words; Government Agencies/Legislatures
February 22, 2012; Houston Chronicle; 638 words; Economy/Economics
April 2, 2012; Houston Chronicle; 641 words; Religion
March 18, 2012; Traverse City Record; 641 words; Transportation
April 20, 2012; Traverse City Record; 641 words; Government Agencies/Legislatures
January 5, 2012; Eagle Tribune (MA); 642 words; Development/Sprawl
April 18, 2012; Houston Chronicle; 644 words; Education
April 17, 2012; Traverse City Record; 645 words; Disasters/Accidents
February 7, 2012; Eagle Tribune (MA); 645 words; Government Agencies/Legislatures
March 15, 2012; Traverse City Record; 646 words; Economy/Economics
May 10, 2012; Eagle Tribune (MA); 646 words; Education
March 14, 2012; Denver Post; 647 words; Lifestyle
April 11, 2012; Denver Post; 647 words; Campaigns/Elections/Politics
January 12, 2012; Traverse City Record; 648 words; Lifestyle
February 19, 2012; Houston Chronicle; 649 words; Business
February 6, 2012; Orlando Sentinel; 649 words; Science and Technology
March 7, 2012; Houston Chronicle; 650 words; Crime
March 15, 2012; Houston Chronicle; 652 words; Health/Medicine
January 19, 2012; Houston Chronicle; 654 words; Additional Domestic Affairs
April 27, 2012; Daily Herald (Everett, WA); 654 words; Campaigns/Elections/Politics
April 30, 2012; Daily Herald (Everett, WA); 654 words; Campaigns/Elections/Politics
February 20, 2012; Orlando Sentinel; 655 words; Race/Gender/Gay Issues
January 13, 2012; Daily Herald (Everett, WA); 655 words; Defense/Military (Domestic)
May 4, 2012; Houston Chronicle; 656 words; Foreign (non-U.S.)
April 27, 2012; Denver Post; 658 words; Business
March 12, 2012; Traverse City Record; 658 words; U.S. Foreign Affairs
May 15, 2012; Denver Post; 659 words; Lifestyle
May 27, 2012; Daily Herald (Everett, WA); 659 words; Education
April 25, 2012; Eagle Tribune (MA); 659 words; Campaigns/Elections/Politics
May 7, 2012; Eagle Tribune (MA); 659 words; Lifestyle
January 2, 2012; Denver Post; 661 words; Additional Domestic Affairs
February 24, 2012; Houston Chronicle; 661 words; Campaigns/Elections/Politics
February 26, 2012; Traverse City Record; 661 words; U.S. Foreign Affairs
April 19, 2012; Denver Post; 662 words; Additional Domestic Affairs
April 10, 2012; Houston Chronicle; 662 words; Economy/Economics
January 11, 2012; Houston Chronicle; 668 words; Additional Domestic Affairs
January 17, 2012; Houston Chronicle; 669 words; Crime
February 6, 2012; Houston Chronicle; 669 words; Science and Technology
May 28, 2012; Eagle Tribune (MA); 669 words; Additional Domestic Affairs
February 20, 2012; Traverse City Record; 670 words; Government Agencies/Legislatures
February 14, 2012; Orlando Sentinel; 671 words; Government Agencies/Legislatures
April 9, 2012; Daily Herald (Everett, WA); 671 words; Education
April 20, 2012; Houston Chronicle; 672 words; Education
May 10, 2012; Eagle Tribune (MA); 673 words; Government Agencies/Legislatures
February 15, 2012; Denver Post; 674 words; U.S. Foreign Affairs
February 23, 2012; Denver Post; 674 words; Health/Medicine
March 22, 2012; Denver Post; 674 words; Campaigns/Elections/Politics
April 16, 2012; Orlando Sentinel; 674 words; Government Agencies/Legislatures
March 1, 2012; Houston Chronicle; 675 words; Crime
February 14, 2012; Traverse City Record; 675 words; Domestic Terrorism
February 14, 2012; Houston Chronicle; 676 words; Additional Domestic Affairs
April 19, 2012; Eagle Tribune (MA); 678 words; U.S. Miscellaneous
May 16, 2012; Houston Chronicle; 679 words; Environment
April 3, 2012; Daily Herald (Everett, WA); 679 words; Economy/Economics
January 2, 2012; Denver Post; 681 words; Sports
April 16, 2012; Houston Chronicle; 683 words; Economy/Economics
January 31, 2012; Houston Chronicle; 684 words; Crime
January 20, 2012; Denver Post; 685 words; Campaigns/Elections/Politics
March 29, 2012; Houston Chronicle; 685 words; Health/Medicine
February 14, 2012; Houston Chronicle; 688 words; Health/Medicine
April 30, 2012; Orlando Sentinel; 692 words; Health/Medicine
April 18, 2012; Orlando Sentinel; 693 words; Economy/Economics
April 20, 2012; Orlando Sentinel; 693 words; Campaigns/Elections/Politics
April 26, 2012; Houston Chronicle; 694 words; Immigration
February 20, 2012; Orlando Sentinel; 694 words; Business
February 1, 2012; Denver Post; 695 words; Additional Domestic Affairs
January 19, 2012; Houston Chronicle; 695 words; Environment
March 23, 2012; Houston Chronicle; 696 words; Religion
April 2, 2012; Houston Chronicle; 696 words; Campaigns/Elections/Politics
March 5, 2012; Orlando Sentinel; 696 words; Campaigns/Elections/Politics
May 10, 2012; Houston Chronicle; 697 words; Health/Medicine
March 26, 2012; Eagle Tribune (MA); 697 words; Economy/Economics
January 25, 2012; Houston Chronicle; 699 words; Government Agencies/Legislatures
March 16, 2012; Daily Herald (Everett, WA); 699 words; Sports
January 19, 2012; Orlando Sentinel; 700 words; Economy/Economics
January 25, 2012; Houston Chronicle; 702 words; Crime
April 26, 2012; Houston Chronicle; 702 words; Immigration
April 19, 2012; Denver Post; 703 words; Economy/Economics
January 12, 2012; Denver Post; 704 words; Government Agencies/Legislatures
May 17, 2012; Denver Post; 705 words; Education
February 24, 2012; Orlando Sentinel; 707 words; Lifestyle
April 16, 2012; Houston Chronicle; 708 words; Sports
April 20, 2012; Orlando Sentinel; 708 words; Crime
January 25, 2012; Daily Herald (Everett, WA); 708 words; Crime
May 9, 2012; Denver Post; 709 words; Business
January 15, 2012; Denver Post; 710 words; Sports
January 11, 2012; Houston Chronicle; 711 words; Sports
April 30, 2012; Houston Chronicle; 712 words; Sports
May 28, 2012; Houston Chronicle; 712 words; Economy/Economics
March 19, 2012; Houston Chronicle; 713 words; Campaigns/Elections/Politics
April 11, 2012; Denver Post; 714 words; Economy/Economics
February 6, 2012; Houston Chronicle; 714 words; Education
February 22, 2012; Orlando Sentinel; 714 words; Race/Gender/Gay Issues
February 27, 2012; Denver Post; 715 words; Health/Medicine
May 23, 2012; Denver Post; 715 words; Transportation
April 17, 2012; Washington Post; 716 words; Defense/Military (Domestic)
January 3, 2012; Houston Chronicle; 716 words; Economy/Economics
March 30, 2012; Denver Post; 717 words; Health/Medicine
January 13, 2012; Houston Chronicle; 717 words; Health/Medicine
April 15, 2012; Houston Chronicle; 717 words; Economy/Economics
March 7, 2012; Orlando Sentinel; 718 words; Health/Medicine
April 16, 2012; Orlando Sentinel; 718 words; Education
January 26, 2012; Eagle Tribune (MA); 718 words; Sports
March 22, 2012; Los Angeles Times; 719 words; Sports
January 27, 2012; Orlando Sentinel; 720 words; Additional Domestic Affairs
February 15, 2012; Denver Post; 721 words; Health/Medicine
May 29, 2012; Traverse City Record; 721 words; Additional Domestic Affairs
February 17, 2012; Traverse City Record; 722 words; Business
January 10, 2012; Denver Post; 723 words; Government Agencies/Legislatures
January 13, 2012; Orlando Sentinel; 723 words; Campaigns/Elections/Politics
April 12, 2012; Houston Chronicle; 724 words; Additional Domestic Affairs
February 16, 2012; Eagle Tribune (MA); 724 words; Government Agencies/Legislatures
May 24, 2012; Houston Chronicle; 726 words; Government Agencies/Legislatures
March 27, 2012; Orlando Sentinel; 726 words; Business
May 4, 2012; Houston Chronicle; 727 words; Transportation
March 16, 2012; New York Times; 728 words; Science and Technology
February 3, 2012; Denver Post; 728 words; Additional Domestic Affairs
January 20, 2012; Eagle Tribune (MA); 729 words; Crime
April 2, 2012; Houston Chronicle; 731 words; Lifestyle
April 9, 2012; Denver Post; 732 words; Campaigns/Elections/Politics
January 27, 2012; Houston Chronicle; 732 words; Environment
March 2, 2012; Eagle Tribune (MA); 732 words; Government Agencies/Legislatures
May 24, 2012; Houston Chronicle; 733 words; Crime
March 19, 2012; Orlando Sentinel; 735 words; Education
February 2, 2012; Orlando Sentinel; 737 words; Economy/Economics
April 24, 2012; Orlando Sentinel; 737 words; Economy/Economics
February 1, 2012; Eagle Tribune (MA); 737 words; Sports
May 9, 2012; Denver Post; 738 words; U.S. Foreign Affairs
March 19, 2012; Houston Chronicle; 739 words; Government Agencies/Legislatures
April 22, 2012; Orlando Sentinel; 739 words; Economy/Economics
April 1, 2012; Eagle Tribune (MA); 739 words; Campaigns/Elections/Politics
April 17, 2012; Denver Post; 740 words; Media
April 20, 2012; Houston Chronicle; 740 words; Health/Medicine
January 26, 2012; Eagle Tribune (MA); 740 words; Media
February 13, 2012; Denver Post; 744 words; Foreign (non-U.S.)
February 10, 2012; Houston Chronicle; 744 words; Foreign (non-U.S.)
April 25, 2012; Denver Post; 747 words; Campaigns/Elections/Politics
February 8, 2012; Houston Chronicle; 747 words; Education
February 1, 2012; Los Angeles Times; 749 words; Lifestyle
April 2, 2012; Orlando Sentinel; 749 words; Health/Medicine
March 30, 2012; Denver Post; 750 words; Disasters/Accidents
February 16, 2012; Houston Chronicle; 750 words; Science and Technology
March 29, 2012; Houston Chronicle; 753 words; Campaigns/Elections/Politics
April 2, 2012; Orlando Sentinel; 753 words; Race/Gender/Gay Issues
January 23, 2012; Orlando Sentinel; 756 words; Business
February 16, 2012; Orlando Sentinel; 756 words; Education
April 17, 2012; Denver Post; 757 words; Disasters/Accidents
February 2, 2012; Orlando Sentinel; 758 words; Education
February 10, 2012; Orlando Sentinel; 758 words; Economy/Economics
January 3, 2012; Houston Chronicle; 760 words; Campaigns/Elections/Politics
February 21, 2012; Denver Post; 761 words; Health/Medicine
May 25, 2012; Denver Post; 761 words; Economy/Economics
May 14, 2012; Houston Chronicle; 761 words; Foreign (non-U.S.)
May 15, 2012; Los Angeles Times; 762 words; Economy/Economics
March 29, 2012; Orlando Sentinel; 762 words; Crime
April 8, 2012; Traverse City Record; 763 words; Crime
February 8, 2012; Houston Chronicle; 764 words; Additional Domestic Affairs
May 14, 2012; Houston Chronicle; 764 words; Transportation
February 22, 2012; Wall Street Journal; 765 words; Education
February 23, 2012; Denver Post; 765 words; Health/Medicine
May 7, 2012; Denver Post; 765 words; Campaigns/Elections/Politics
March 29, 2012; Orlando Sentinel; 765 words; Additional Domestic Affairs
March 8, 2012; Denver Post; 767 words; Government Agencies/Legislatures
January 11, 2012; Orlando Sentinel; 768 words; Government Agencies/Legislatures
April 30, 2012; Houston Chronicle; 771 words; Campaigns/Elections/Politics
January 23, 2012; Orlando Sentinel; 771 words; Campaigns/Elections/Politics
February 6, 2012; Orlando Sentinel; 771 words; Additional Domestic Affairs
March 21, 2012; Orlando Sentinel; 771 words; Business
March 12, 2012; Traverse City Record; 771 words; Foreign (non-U.S.)
May 4, 2012; Orlando Sentinel; 772 words; Economy/Economics
March 22, 2012; Daily Herald (Everett, WA); 772 words; Education
May 10, 2012; Houston Chronicle; 773 words; Crime
February 28, 2012; Orlando Sentinel; 773 words; Development/Sprawl
January 10, 2012; New York Times; 774 words; Health/Medicine
April 4, 2012; Orlando Sentinel; 776 words; Campaigns/Elections/Politics
May 15, 2012; Daily Herald (Everett, WA); 776 words; Government Agencies/Legislatures
March 5, 2012; Houston Chronicle; 777 words; Education
January 5, 2012; Houston Chronicle; 780 words; Additional Domestic Affairs
April 6, 2012; Houston Chronicle; 780 words; Defense/Military (Domestic)
March 21, 2012; Orlando Sentinel; 781 words; Education
April 6, 2012; Orlando Sentinel; 781 words; Additional Domestic Affairs
March 23, 2012; Orlando Sentinel; 782 words; Government Agencies/Legislatures
March 19, 2012; Houston Chronicle; 783 words; Crime
January 5, 2012; Eagle Tribune (MA); 784 words; Campaigns/Elections/Politics
March 7, 2012; Orlando Sentinel; 786 words; Education
March 25, 2012; Orlando Sentinel; 787 words; Economy/Economics
May 9, 2012; Daily Herald (Everett, WA); 787 words; Business
March 5, 2012; Houston Chronicle; 788 words; Health/Medicine
February 7, 2012; Los Angeles Times; 789 words; Foreign (non-U.S.)
February 26, 2012; Orlando Sentinel; 789 words; Sports
February 21, 2012; Denver Post; 790 words; Health/Medicine
May 9, 2012; Denver Post; 790 words; Race/Gender/Gay Issues
February 24, 2012; Houston Chronicle; 790 words; Race/Gender/Gay Issues
May 21, 2012; Denver Post; 793 words; U.S. Foreign Affairs
January 25, 2012; Orlando Sentinel; 793 words; Campaigns/Elections/Politics
March 29, 2012; Orlando Sentinel; 793 words; Additional Domestic Affairs
January 2, 2012; Los Angeles Times; 794 words; Disasters/Accidents
April 23, 2012; Traverse City Record; 795 words; U.S. Foreign Affairs
March 15, 2012; Orlando Sentinel; 797 words; Crime
May 3, 2012; Los Angeles Times; 798 words; Defense/Military (Domestic)
January 29, 2012; Eagle Tribune (MA); 798 words; Government Agencies/Legislatures
February 20, 2012; Orlando Sentinel; 799 words; Education
March 19, 2012; Daily Herald (Everett, WA); 799 words; Campaigns/Elections/Politics
April 30, 2012; Orlando Sentinel; 800 words; Education
April 10, 2012; Orlando Sentinel; 801 words; Health/Medicine
April 6, 2012; Orlando Sentinel; 803 words; Crime
